,Character,Team up 1,Team up 2,Role
,Adam Warlock,Storm,Ultron,Strategist
,Angela,Loki,Star Lord,Vanguard
,Black Cat,Black Panther,Spider-Man,Dualist
,Black Panther,Storm,Magik,Dualist
,Black Widow,Phoenix,Hawkeye,Dualist
,Blade,Moon Knight,Captain America,Dualist
,Bruce Banner,Captain America,Wolverine,Vanguard
,Captain America,Thor,Winter Soldier,Vanguard
,Cloak & Dagger,Luna Snow,The Hood,Strategist
,Cyclops,Phoenix,Gambit,Dualist
,Daredevil,Iron Fist,Black Widow,Dualist
,Deadpool,Gambit,Hela,All
,Devil Dinosaur,The Punisher,Jeff the Land Shark,Vanguard
,Doctor Strange,Bruce Banner,Invisible Woman,Vanguard
,Elsa Bloodstone,Devil Dinosaur,Deadpool,Dualist
,Emma Frost,Luna Snow,Mantis,Vanguard
,Gambit,Magneto,Jubilee,Strategist
,Groot,Jeff the Land Shark,Mantis,Vanguard
,Hawkeye,Cloak & Dagger,Psylocke,Dualist
,Hela,Namor,Vemon,Dualist
,Human Torch,Jubilee,Storm,Dualist
,Invisible Woman,Human Torch,Mister Fantastic,Strategist
,Iron Fist,White Fox,The Thing,Dualist
,Iron Man,Bruce Banner,Thor,Dualist
,Jeff the Land Shark,Venom,Deadpool,Strategist
,Jubilee,Blade,The Hood,Strategist
,Loki,Mantis,Hela,Strategist
,Luna Snow,White Fox,Adam Warlock,Strategist
,Magik,The Hood,Doctor Strange,Dualist
,Magneto,Emma Frost,Scarlet Witch,Vanguard
,Mantis,Adam Warlock,Star Lord,Strategist
,Mister Fantastic,Rocket Raccoon,The Thing,Dualist
,Moon Knight,Cloak & Dagger,Elsa Bloodstone,Dualist
,Namor,Luna Snow,Bruce Banner,Dualist
,Peni Parker,Black Panther,Rocket Raccoon,Vanguard
,Phoenix,Hela,Rogue,Dualist
,Psylocke,Cloak & Dagger,Emma Frost,Dualist
,Rocket Raccoon,Groot,Squirrel Girl,Strategist
,Rogue,Magneto,Gambit,Vanguard
,Scarlet Witch,Jubilee,Doctor Strange,Dualist
,Spider-man,Peni Parker,Venom,Dualist
,Squirrel Girl,Iron Man,Spider-Man,Dualist
,Star Lord,Groot,Adam Warlock,Dualist
,Storm,Jeff the Land Shark,Thor,Dualist
,The Punisher,Daredevil,Rocket Raccoon,Dualist
,The Thing,Human Torch,Invisible Woman,Vanguard
,Thor,Hela,Angela,Vanguard
,Ultron,Iron Man,Peni Parker,Strategist
,Venom,Blade,Phoenix,Vanguard
,White Fox,Black Cat,Psylocke,Strategist
,Winter Soldier,Elsa Bloodstone,The Punisher,Dualist
,Wolverine,Gambit,Cyclops,Dualist
,The Hood,TBD,TBD,TBD
